Product Name,Sizes,Sizes Group,Sizes Group Count
נעל מנהלים גובה חצי תקן S3 ריאל,"47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37",-6085058773725583097,18
פנס מתכת USB רב שימושי,one size,700455345798571475,877
פאוץ' נסיעות נגד גניבות,one size,700455345798571475,877
"דגמ""ח קומנדו 6 כיסים","4XL, 3XL, 2XL, XL, L, M, S",-1996423517076311580,29
"דגמ""ח משולב לייקרה","54, 52, 50, 48, 46, 44, 42, 40, 38",-1232640563786128409,6
מכנס דריל לייקרה,"52, 50, 48, 46, 44, 42, 40, 38",2341600182330569773,3
מכנס דריל צ'ינו,"54, 52, 50, 48, 46, 44, 42, 40, 38",-1232640563786128409,6
מכנס דריל 5 כיסים,"52, 50, 48, 46, 44, 42, 40, 38",2341600182330569773,3
מכנס בנאים פרימיום+ברכיות משולב לייקרה,"52, 50, 48, 46, 44, 42, 40, 38",2341600182330569773,3
"דגמ""ח מנומר 7 כיסים משולב לייקרה","54, 52, 50, 48, 46, 44, 42, 40, 38",-1232640563786128409,6
"דגמ""ח 7 כיסים מחוזק","54, 52, 50, 48, 46, 44, 42, 40, 38, 36",5415916732221551400,1
"דגמ""ח מנומר 7 כיסים","54, 52, 50, 48, 46, 44, 42, 40, 38",-1232640563786128409,6
מכנס פרנץ' טרי ארוך,"5XL, 4XL, 3XL, 2XL, XL, L, M, S",2857808831311792174,40
"דגמ""ח מנומר עבה","48, 46, 44, 42, 40, 38",6104001198729416403,1
חגורת כלים 7 כיסים,one size,700455345798571475,877
חולצת דרייפיט שרוול קצר מידות ילדים,"18, 16, 14, 12, 10, 8, 6, 4, 2",6605960339983454621,2
חולצת טריקו שרוול קצר מידות ילדים,"18, 16, 14, 12, 10, 8, 6, 4, 2",6605960339983454621,2
כובע מצחיה מותאם להדפסה,one size,700455345798571475,877
ערכת עזרה ראשונה 19 איש - תקן משרד העבודה,one size,700455345798571475,877
זוג כפפות עבודה נגד חיתוך CUT 5 TYS,"11, 10, 9",8898365719802515050,2
זוג כפפות בד מנוקד,one size,700455345798571475,877
כובע חבטות,one size,700455345798571475,877
משקפי מגן  ספורטיביות עדשה בהירה תקן EN166,one size,700455345798571475,877
משקפי מגן  ספורטיביות עדשה כהה תקן EN166,one size,700455345798571475,877
קסדת מגן מנהלים עם פתחי אוורור ורצ'ט לסגירה תוצרת DELTA Delta Plus,one size,700455345798571475,877
